username,prediction.homeTeam,prediction.awayTeam,round,date,pointsEarned,homeTeam,awayTeam,actualHome,actualAway,roundPoints,totalPoints
ricardomello,2,2,17,2025-07-25T17:50:14.000Z,5,Botafogo,Corinthians,1,1,15,157
giovanni,1,0,17,2025-07-26T02:19:19.000Z,0,Botafogo,Corinthians,1,1,10,66
giovanni,3,1,17,2025-07-26T02:19:30.000Z,0,Mirassol,Vitória,1,1,10,66
giovanni,1,2,17,2025-07-26T02:19:43.000Z,0,Fortaleza,Bragantino,3,1,10,66
giovanni,0,2,17,2025-07-26T02:19:57.000Z,0,Sport,Santos,2,2,10,66
giovanni,3,1,17,2025-07-26T02:20:07.000Z,5,Palmeiras,Grêmio,1,0,10,66
giovanni,1,1,17,2025-07-26T02:20:19.000Z,0,São Paulo,Fluminense,3,1,10,66
giovanni,2,0,17,2025-07-26T02:20:28.000Z,0,Cruzeiro,Ceará,1,2,10,66
giovanni,2,1,17,2025-07-26T02:20:38.000Z,0,Internacional,Vasco,1,1,10,66
giovanni,3,2,17,2025-07-26T02:20:47.000Z,5,Bahia,Juventude,3,0,10,66
giovanni,1,1,17,2025-07-26T02:20:57.000Z,0,Flamengo,Atlético-MG,1,0,10,66
joaozorzella,2,1,17,2025-07-26T16:17:54.000Z,0,Botafogo,Corinthians,1,1,25,167
joaozorzella,2,1,17,2025-07-26T16:18:09.000Z,0,Mirassol,Vitória,1,1,25,167
joaozorzella,2,1,17,2025-07-26T16:18:25.000Z,5,Fortaleza,Bragantino,3,1,25,167
joaozorzella,1,0,17,2025-07-26T16:18:50.000Z,0,Sport,Santos,2,2,25,167
joaozorzella,3,1,17,2025-07-26T16:19:06.000Z,5,Palmeiras,Grêmio,1,0,25,167
joaozorzella,2,0,17,2025-07-26T16:19:37.000Z,0,Cruzeiro,Ceará,1,2,25,167
joaozorzella,2,1,17,2025-07-26T16:19:54.000Z,5,São Paulo,Fluminense,3,1,25,167
joaozorzella,1,0,17,2025-07-26T16:20:29.000Z,0,Internacional,Vasco,1,1,25,167
joaozorzella,1,0,17,2025-07-26T16:20:40.000Z,5,Bahia,Juventude,3,0,25,167
joaozorzella,2,1,17,2025-07-26T16:21:14.000Z,5,Flamengo,Atlético-MG,1,0,25,167
luciano,2,0,17,2025-07-26T16:50:44.000Z,0,Botafogo,Corinthians,1,1,30,163
luciano,3,1,17,2025-07-26T16:51:00.000Z,0,Mirassol,Vitória,1,1,30,163
luciano,1,1,17,2025-07-26T16:51:31.000Z,0,Fortaleza,Bragantino,3,1,30,163
luciano,1,2,17,2025-07-26T16:51:45.000Z,0,Sport,Santos,2,2,30,163
luciano,2,0,17,2025-07-26T16:51:56.000Z,5,Palmeiras,Grêmio,1,0,30,163
luciano,3,2,17,2025-07-26T16:52:14.000Z,5,São Paulo,Fluminense,3,1,30,163
luciano,3,1,17,2025-07-26T16:52:37.000Z,0,Cruzeiro,Ceará,1,2,30,163
